status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The Interior Department is asking tribes for help finding new names for mountains, rivers and other landmarks that include the offensive term “squaw.”",https://www.nytimes.com/2022/03/10/us/squaw-new-name.html,"The Interior Department is asking tribes for help finding new names for mountains, rivers and other landmarks that include the offensive term “squaw.”","The map dots, resembling a scattergram of America, point to snow-covered pinnacles, remote islands and places in between.",The New York Times,,,2022-03-10T14:56:34+0000,article,Express,U.S.,News,nyt://article/179a8cbf-9ef8-51f9-a2e0-ec34e86301c1,948,nyt://article/179a8cbf-9ef8-51f9-a2e0-ec34e86301c1,NA,NA,NA,660 U.S. Place Names Include a Slur for Native Women. Change Is Coming.,NA,NA,NA,NA,NA,NA,By Neil Vigdor and Christine Hauser,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The auctioned areas are expected to generate enough power for nearly 2 million homes once turbines are built.,https://www.nytimes.com/2022/02/25/climate/new-york-offshore-wind-auction.html,The auctioned areas are expected to generate enough power for nearly 2 million homes once turbines are built.,"WASHINGTON — The United States government netted a record $4.37 billion on Friday from the sale of six offshore wind leases off the coasts of New York and New Jersey, a major step in the Biden administration’s goal of ushering in a future powered by renewable energy.",The New York Times,,,2022-02-25T21:59:34+0000,article,Climate,Climate,News,nyt://article/48096f35-dd2d-52a0-8e0c-e0d99dd90c69,809,nyt://article/48096f35-dd2d-52a0-8e0c-e0d99dd90c69,A,18,NA,Sale of Leases for Wind Farms Off New York Raises More Than $4 Billion,NA,NA,Sale of Offshore Wind Farm Leases Raises $4.37 Billion,NA,NA,NA,By Lisa Friedman,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"One set of researchers estimated a manager is responsible for only 8 percent of a team’s results. But 8 percent, when you think about it, is a lot.",https://www.nytimes.com/2021/11/26/sports/soccer/manchester-united-manager.html,"One set of researchers estimated a manager is responsible for only 8 percent of a team’s results. But 8 percent, when you think about it, is a lot.","That first day, for an incoming manager at a new club, must be overwhelming. There is an entire squad of players to meet, to get to know, to win over. There is a staff, nervous of your intentions and fearful of what the future may hold, to convince and, hopefully, to command.",The New York Times,,,2021-11-26T19:00:06+0000,article,Sports,Sports,News,nyt://article/a024a8b7-1473-58df-8f1c-e9a5d6f9033d,2206,nyt://article/a024a8b7-1473-58df-8f1c-e9a5d6f9033d,A,33,Soccer,How Much Does Your Team’s Manager Matter?,The On Soccer Newsletter,NA,How Much Does a Manager Matter?,NA,NA,NA,By Rory Smith,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.",https://www.nytimes.com/2021/11/26/climate/climate-change-drilling-public-lands.html,"The department recommended higher fees for oil and gas leases, but there was no sign the government planned to take global warming into account when weighing new applications.",WASHINGTON — The Interior Department on Friday recommended that the federal government raise the fees that oil and gas companies pay to drill on public lands — the first increase in those rent and royalty rates since 1920.,The New York Times,,,2021-11-26T16:30:12+0000,article,Climate,Climate,News,nyt://article/f23ef699-4d4c-588f-9d0c-5e860a3a9ea7,1417,nyt://article/f23ef699-4d4c-588f-9d0c-5e860a3a9ea7,A,19,NA,Interior Dept. Report on Drilling Is Mostly Silent on Climate Change,NA,NA,Interior Dept. Report on Drilling Mostly Silent on Climate Change,NA,NA,NA,By Coral Davenport and Lisa Friedman,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"A decision by the Trump administration to move the Bureau of Land Management’s headquarters to Colorado caused staff members to quit, according to a government watchdog report.",https://www.nytimes.com/2021/11/18/us/politics/federal-agency-diversity.html,"A decision by the Trump administration to move the Bureau of Land Management’s headquarters to Colorado caused staff members to quit, according to a government watchdog report.","WASHINGTON — A decision by the Trump administration to move the headquarters of the Bureau of Land Management to Grand Junction, Colo., from Washington left the agency with high vacancy rates as veteran employees — especially African Americans — quit rather than relocate, a government watchdog said in a report issued this week.",The New York Times,,,2021-11-18T22:59:58+0000,article,Washington,U.S.,News,nyt://article/ca99e9d5-c208-5fbe-bd14-5c0dc67a81f2,750,nyt://article/ca99e9d5-c208-5fbe-bd14-5c0dc67a81f2,A,16,Politics,"Relocation of Federal Agency Hurt Diversity, Watchdog Finds",NA,NA,"Moving Agency Hurt Diversity, a Watchdog Finds",NA,NA,NA,By Michael D. Shear,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Norway’s failure to qualify for Qatar means Erling Haaland will have to watch from home. Norway has taken it in stride.,https://www.nytimes.com/2021/11/17/sports/soccer/world-cup-qualifying-norway.html,Norway’s failure to qualify for Qatar means Erling Haaland will have to watch from home. Norway has taken it in stride.,"Somewhere, in a darkened room, Erling Haaland was watching. Injury meant he would not be able to take the field for Norway’s most significant match in 20 years. The Netherlands’ return to partial lockdown last weekend meant, with the game played behind closed doors, he would not even be able to support his national team from the stands.",The New York Times,,,2021-11-17T14:29:11+0000,article,Sports,Sports,News,nyt://article/815eda94-db1b-5f0a-8a49-90ab104c7fd9,1276,nyt://article/815eda94-db1b-5f0a-8a49-90ab104c7fd9,B,8,Soccer,The World Cup Loses Its First Star,On Soccer,NA,The World Cup Loses Its First Star,NA,NA,NA,By Rory Smith,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"After years of tribal requests, the president plans to block new oil and gas leases within 10 miles of Chaco Canyon in New Mexico. The move generated strong pushback from industry groups.",https://www.nytimes.com/2021/11/15/climate/biden-bans-drilling-chaco-canyon.html,"After years of tribal requests, the president plans to block new oil and gas leases within 10 miles of Chaco Canyon in New Mexico. The move generated strong pushback from industry groups.","WASHINGTON — President Biden announced on Monday that his administration was moving to block new federal oil and gas leasing within a 10-mile radius around Chaco Canyon in New Mexico, one of the nation’s oldest and most culturally significant Native American sites.",The New York Times,,,2021-11-15T12:30:07+0000,article,Climate,Climate,News,nyt://article/42cbd1b8-4f36-5a0f-8908-727d28001f8f,1018,nyt://article/42cbd1b8-4f36-5a0f-8908-727d28001f8f,A,15,NA,Biden to Bar New Drilling Around a Major Native American Cultural Site,NA,NA,Biden to Bar Drilling Around a Major Native American Cultural Site,NA,NA,NA,By Coral Davenport,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Haaland, the first Native American cabinet secretary, ran the Boston Marathon as a tribute to the sacrifices of Indigenous people, she wrote.",https://www.nytimes.com/2021/10/11/sports/deb-haaland-marathon-indigenous-peoples-day.html,"Haaland, the first Native American cabinet secretary, ran the Boston Marathon as a tribute to the sacrifices of Indigenous people, she wrote.","Deb Haaland, President Biden’s secretary of the Interior, was among this year’s more recognizable amateur runners.",The New York Times,,,2021-10-11T19:36:59+0000,article,Sports,Sports,News,nyt://article/4345c8a7-ed1c-55ff-875f-964af0ce0eac,199,nyt://article/4345c8a7-ed1c-55ff-875f-964af0ce0eac,NA,NA,NA,"Deb Haaland, the Interior secretary, runs to honor Indigenous Peoples’ Day.",NA,NA,NA,NA,NA,NA,By Lauren McCarthy,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"When she took her oath of office, the first Native American cabinet secretary also took a stance for self-expression.",https://www.nytimes.com/2021/03/19/style/deb-haaland-history-native-dress.html,"When she took her oath of office, the first Native American cabinet secretary also took a stance for self-expression.","Forget pantsuit nation. The Washington dress code is changing, one swearing-in at a time.",The New York Times,,,2021-03-19T12:48:54+0000,article,Styles,Style,News,nyt://article/da17f092-9f66-5cb6-a0a5-cc838a09d235,740,nyt://article/da17f092-9f66-5cb6-a0a5-cc838a09d235,NA,NA,NA,"Deb Haaland Makes History, and Dresses for It",critic’s notebook,NA,NA,NA,NA,NA,By Vanessa Friedman,,NA,121,0,15
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Senator Joe Manchin III, who oversees the confirmation hearing, said he would support Representative Deb Haaland, President Biden’s nominee to lead the Interior Department.",https://www.nytimes.com/2021/02/24/climate/deb-haaland-interior-secretary.html,"Senator Joe Manchin III, who oversees the confirmation hearing, said he would support Representative Deb Haaland, President Biden’s nominee to lead the Interior Department.","WASHINGTON — Senator Joe Manchin III, the West Virginia Democrat who heads the Senate Energy Committee, announced Wednesday that he would vote to confirm Representative Deb Haaland of New Mexico to head the Interior Department, most likely ensuring that one of President Biden’s most embattled cabinet nominees will be confirmed to office, despite escalating opposition to her from Republicans.",The New York Times,,,2021-02-24T23:12:49+0000,article,Climate,Climate,News,nyt://article/fc085012-34fe-5c39-9ffd-86e7201b6a6b,1137,nyt://article/fc085012-34fe-5c39-9ffd-86e7201b6a6b,A,16,NA,"Haaland, With a Key Vote in Her Column, Appears Headed for Confirmation",NA,NA,A Key Vote May Push  Haaland to Confirmation,NA,NA,NA,By Coral Davenport,,NA,121,0,15
